Catalyst_Name,Count,Percentage
Degussa P25 TiO2,40,7.7071290944123305
Pure Anatase TiO2,40,7.7071290944123305
Pure Rutile TiO2,40,7.7071290944123305
N-doped TiO2,40,7.7071290944123305
Fe-doped TiO2,40,7.7071290944123305
Ag/TiO2 nanocomposite,40,7.7071290944123305
Cu-doped TiO2,40,7.7071290944123305
S-doped TiO2,40,7.7071290944123305
C-doped TiO2,40,7.7071290944123305
Zn-doped TiO2,40,7.7071290944123305
Au/TiO2 plasmonic,40,7.7071290944123305
TiO2/Graphene oxide,40,7.7071290944123305
F-doped TiO2,39,7.514450867052023
